Geolocation_Key,Time_Key,Goal_Key,Target_Key,value
16,717,204,416,65
16,718,204,416,68.08
16,719,204,416,74.49
16,720,204,416,75.89
16,721,204,416,77.2258
16,722,204,416,
16,723,204,416,
2,701,204,416,71.19
2,702,204,416,59.84
2,703,204,416,59.64
2,704,204,416,61.76
2,705,204,416,60.71
2,706,204,416,57.81
2,707,204,416,59.1
2,708,204,416,57.04
2,709,204,416,57.14
2,710,204,416,64.76
2,711,204,416,63.7
2,712,204,416,68.27
2,713,204,416,70.43
2,714,204,416,71.87
2,715,204,416,72.5
2,716,204,416,77.08
2,717,204,416,78.72
2,718,204,416,79.77
2,719,204,416,83.64
2,720,204,416,84.76
2,721,204,416,84.9372
2,722,204,416,
2,723,204,416,
3,701,204,436,
3,702,204,436,
3,703,204,436,
3,704,204,436,
3,705,204,436,
3,706,204,436,
3,707,204,436,
3,708,204,436,
3,709,204,436,
3,710,204,436,
3,711,204,436,
3,712,204,436,
3,713,204,436,
3,714,204,436,
3,715,204,436,
3,716,204,436,
3,717,204,436,47.9
3,718,204,436,55.67
3,719,204,436,61.17
3,720,204,436,54.93
3,721,204,436,49.4413
3,722,204,436,
3,723,204,436,
4,701,204,436,
4,702,204,436,
4,703,204,436,
4,704,204,436,
4,705,204,436,
4,706,204,436,
4,707,204,436,
4,708,204,436,
4,709,204,436,
4,710,204,436,
4,711,204,436,
4,712,204,436,
4,713,204,436,
4,714,204,436,
4,715,204,436,
4,716,204,436,
4,717,204,436,44.4
4,718,204,436,53.26
4,719,204,436,57.48
4,720,204,436,54.5
4,721,204,436,58.7108
4,722,204,436,
4,723,204,436,
5,701,204,436,
5,702,204,436,
5,703,204,436,
5,704,204,436,
5,705,204,436,
5,706,204,436,
5,707,204,436,
5,708,204,436,
5,709,204,436,
5,710,204,436,
5,711,204,436,
5,712,204,436,
5,713,204,436,
5,714,204,436,
5,715,204,436,
5,716,204,436,
5,717,204,436,36.37
5,718,204,436,44.08
5,719,204,436,48.96
5,720,204,436,48.45
5,721,204,436,52.8585
5,722,204,436,
5,723,204,436,
